,cluster
50,53
46,31
39,26
78,21
1,16
226,15
37,14
115,11
49,9
124,9
14,5
206,4
34,4
232,4
29,3
23,3
40,3
144,3
2,3
19,3
90,3
117,2
116,1
98,1
80,1
81,1
92,1
130,1
99,1
100,1
108,1
120,1
126,1
101,1
77,1
105,1
332,1
74,1
72,1
6,1
9,1
11,1
15,1
20,1
21,1
24,1
25,1
28,1
43,1
44,1
52,1
54,1
58,1
133,1
66,1
68,1
69,1
71,1
132,1
137,1
135,1
283,1
242,1
247,1
251,1
258,1
259,1
260,1
263,1
265,1
266,1
271,1
275,1
287,1
328,1
288,1
289,1
290,1
291,1
293,1
296,1
297,1
311,1
316,1
318,1
327,1
240,1
237,1
236,1
230,1
138,1
140,1
147,1
157,1
172,1
177,1
178,1
183,1
191,1
192,1
196,1
198,1
199,1
202,1
207,1
208,1
211,1
218,1
219,1
221,1
224,1
225,1
228,1
0,1
