,dataid
4874,173100
2158,173100
1551,173100
1617,173100
1632,173100
3368,173100
1800,173100
4352,173100
2199,173100
1403,173100
2401,173100
4220,173100
4193,173100
2859,173100
3134,173100
3723,173100
1524,173100
1696,173100
668,173100
4590,173100
483,173100
86,173100
101,173100
484,173100
4703,173100
434,173100
1415,173087
575,173086
946,173085
1953,173084
2233,173084
2510,173082
2156,173081
4641,173081
1697,173080
2925,173080
3967,173079
516,173076
4213,173075
171,173072
4342,173072
4313,173040
4575,173040
4031,173040
4357,173040
3935,173040
3849,173040
4601,173040
4499,173040
3635,173040
3401,173040
2742,173040
3273,173040
2787,173040
490,173040
781,173040
1629,173040
1642,173040
2072,173040
2361,173040
4998,173040
2638,173040
2986,173040
3104,173040
3192,173040
3268,173040
2557,173025
1103,173024
4670,173024
2965,173023
3649,173022
26,173022
3577,173021
2931,173019
3221,173019
871,173019
3392,173016
1202,173015
4375,173015
4920,173014
4830,173013
2129,173012
4298,172980
624,172980
2769,172980
2945,172980
2953,172980
1169,172980
3310,172980
890,172980
3736,172980
604,172980
2575,172980
545,172980
1714,172980
4297,172980
4957,172980
379,172980
4633,172980
4767,172980
2755,172980
370,172980
59,172980
1700,172980
114,172980
1500,172980
1792,172980
2472,172980
1192,172974
499,172969
2018,172967
2818,172965
77,172964
3456,172964
3500,172963
3538,172963
3795,172962
1589,172962
1450,172962
2094,172962
547,172961
1334,172961
585,172959
1830,172959
2710,172959
252,172958
4505,172958
1392,172958
3009,172955
2449,172954
2365,172953
4154,172920
503,172920
1801,172920
4336,172920
4473,172920
1766,172920
4373,172920
1790,172920
1791,172920
4495,172920
2606,172920
4147,172920
3953,172920
2641,172920
2532,172920
2980,172920
1283,172920
3036,172920
3039,172920
1086,172920
974,172920
821,172920
774,172920
744,172920
1463,172920
3829,172920
2004,172920
3918,172920
661,172920
3394,172920
222,172920
4773,172920
187,172920
115,172920
93,172920
3482,172899
3916,172899
2034,172898
2814,172898
3367,172898
3831,172895
2829,172895
4956,172895
4447,172894
3938,172893
1507,172893
2171,172893
3126,172893
3506,172893
2378,172893
2337,172892
4514,172891
4946,172860
3044,172800
1731,172740
4944,172237
1718,171792
3527,156217
2461,147645
6063,133417
7739,133417
7719,133417
7641,133417
7627,133417
7560,133417
7536,133417
7767,133417
6061,133417
7429,133417
7390,133417
7361,133417
7166,133417
7117,133417
7741,133417
6264,133417
7017,133417
7769,133417
7787,133417
7788,133417
7793,133417
7800,133417
7850,133417
7875,133417
7901,133417
7900,133417
7940,133417
7951,133417
7965,133417
7973,133417
7989,133417
7024,133417
7504,133417
6121,133417
6887,133417
6423,133417
6248,133417
6578,133417
6593,133417
6692,133417
6165,133417
6730,133417
6148,133417
6799,133417
6691,133417
7001,133417
6139,133417
6990,133417
6941,133417
6460,133416
7030,133416
6498,133416
6643,133416
6101,133416
6910,133416
6412,133416
6348,133416
6888,133416
7731,133157
410,128700
898,128640
7016,126757
3719,114582
3413,113340
6266,104257
9134,90801
8829,90801
8317,90801
9775,90800
9922,90800
9971,90800
9937,90800
9939,90800
9912,90800
9771,90800
9613,90800
9921,90800
9609,90800
9875,90800
9942,90800
9647,90800
9915,90800
9932,90800
9654,90800
9701,90800
9938,90800
9729,90800
9818,90800
9935,90800
9776,90800
9926,90800
9766,90800
8163,90800
8767,90800
9605,90800
8669,90800
8645,90800
8626,90800
8622,90800
8589,90800
8555,90800
8419,90800
8395,90800
8386,90800
8368,90800
8342,90800
9982,90800
8292,90800
8282,90800
8273,90800
8243,90800
8236,90800
8218,90800
8201,90800
8197,90800
8188,90800
8046,90800
8059,90800
8061,90800
8079,90800
8086,90800
8084,90800
8741,90800
9983,90800
8807,90800
9142,90800
9555,90800
9484,90800
9462,90800
9434,90800
9356,90800
9343,90800
9278,90800
9248,90800
9235,90800
9206,90800
9160,90800
8156,90800
9156,90800
9141,90800
8857,90800
9085,90800
9052,90800
8862,90800
9019,90800
9121,90800
9001,90800
8995,90800
8956,90800
6191,89137
3092,86928
3734,86400
1796,85680
9295,46520
9836,4760
9333,4760
