dataid,total_consumption,mci
8188,905.202,24.14574474
1629,1904.411,23.99220199
9555,1379.129,23.80698912
9052,1631.446,24.0133252
7001,1273.363,23.87970932
7769,693.347,24.11473558
604,4782.771,24.05287111
93,1108.845,23.93357197
4447,1920.8,24.01750279
4703,1973.339,23.65345452
8282,1927.668,24.02653534
8061,690.514,23.95985753
4956,1378.942,24.01455339
9818,1147.556,23.93240776
3935,830.594,24.05062336
4957,4216.505,24.03742723
8292,859.632,23.86068901
2401,1790.973,23.94468433
1632,1789.197,23.87623561
6498,2162.876,23.89468811
86,1898.818,24.10768793
8273,2967.24,23.79672223
7767,578.334,23.8136465
3413,2156.272,24.05120897
3394,3231.543,23.93114919
3401,7172.031,23.9530353
585,1142.115,23.8740321
6730,1327.432,24.10104889
2378,1246.324,23.72306751
77,3127.767,24.02519085
6990,1193.455,24.00391102
3916,2522.942,23.95532328
2638,1133.362,23.93815129
1103,814.766,23.94742335
3918,2710.093,24.00989065
2129,1712.187,23.90704135
2641,2812.268,23.97926053
4946,1390.909,23.93514095
1617,1861.889,23.98811706
4944,461.636,23.82182725
7504,1681.703,23.84952754
4193,1761.132,23.9272011
8807,1090.585,24.07509706
3938,477.621,23.59837128
115,1193.7,24.22270223
7536,1105.109,24.07253997
7030,286.664,23.80307076
4213,1230.766,23.90018194
8059,589.124,23.9025873
6266,2389.433,24.02552195
8317,792.29,23.90539895
8829,1355.738,23.8977624
9085,2436.933,24.11490574
3192,1803.141,23.78235793
2171,2225.637,23.98213688
890,1287.688,24.11319115
6264,821.982,23.9080727
4473,564.611,23.80630589
379,3539.137,23.86078274
9343,868.826,23.78197247
1403,484.447,23.79719612
7800,227.365,23.80043594
7024,867.288,23.88392874
7793,1041.626,24.0793205
101,496.776,23.9853228
2931,1230.691,23.86708087
871,897.08,23.70670692
7787,2303.403,23.90287005
7017,0,
1642,1490.334,24.22339953
6248,2780.129,23.99409794
7016,3221.398,23.86941847
2925,1824.136,23.57771773
2156,1254.894,24.05729281
8046,2547.134,23.3108393
2158,1644.316,24.10982286
8555,863.283,23.90233135
7788,3241.904,23.59208363
624,1386.996,24.059155
1392,2466.58,23.99969194
3953,0,
114,1935.957,23.89781406
370,1003.035,23.91388802
3392,1364.54,23.90411434
3649,1520.133,23.82852139
3134,497.885,23.80417531
781,1038.115,24.03776672
6412,2066.332,23.91420224
1551,541.151,23.79609515
6423,1626.951,23.86781024
4375,3006.675,23.93614561
6165,608.908,23.82312526
4373,2194.473,24.24438075
9235,489.474,23.7987731
2072,609.579,23.80772151
26,610.339,23.77918624
4633,1957.524,23.96080069
8218,652.745,23.92318121
6941,3016.889,24.21603944
7965,3634.991,23.79590197
2337,198.14,23.73740705
6691,4631.789,23.7048494
545,1405.365,24.02719238
8741,773.27,23.7814327
2575,1692.903,23.90449426
8201,1220.536,23.67564194
9766,1851.176,24.00771177
