dataid,total_consumption,mci_00,mci_01,mci_02,mci_03,mci_04,mci_05,mci_06,mci_07,mci_08,mci_09,mci_10,mci_11,mci_12,mci_13,mci_14,mci_15,mci_16,mci_17,mci_18,mci_19,mci_20,mci_21,mci_22,mci_23
8188,905.202,23.53532696,23.0524094,22.78078188,22.55455315,22.87124561,22.77097271,22.90638581,23.25657596,23.68997732,23.96524041,24.08090924,24.20623746,24.13865094,24.0759723,23.97835164,24.07492112,24.03997476,24.68152974,24.94045269,24.7872895,24.74397603,24.48803025,24.02301366,23.71471742
1629,1904.411,23.48636332,23.04857488,22.75107782,22.56274084,22.83149131,22.80480485,22.9095567,23.22697949,23.78263493,23.9925915,24.06904465,24.24375656,24.18669541,24.08927956,24.00546403,23.95627142,24.05167671,24.62912147,24.9264745,24.79074753,24.8598772,24.50855246,23.99743732,23.70012833
9555,1379.129,23.50636706,23.04732364,22.73915129,22.55015222,22.82903559,22.86098211,22.91550365,23.20593316,23.65144573,23.9633489,24.0707085,24.20590707,24.11785139,24.03533503,24.00230997,23.98160122,24.05619093,24.64563501,24.9133797,24.7898999,24.83915551,24.44225023,24.03200455,23.71190555
9052,1631.446,23.51330618,23.03612367,22.72329192,22.58634295,22.80987318,22.86406995,22.88817342,23.15802103,23.64694072,23.98648401,24.09857927,24.11890114,24.08138357,24.07346584,24.04843418,24.07842564,24.04651804,24.67440191,24.93172103,24.77104138,24.82995786,24.47808793,24.01680485,23.70373497
7001,1273.363,23.51321106,23.08174261,22.74919229,22.55653455,22.8295696,22.86429905,22.94287518,23.24348538,23.63631102,23.96920152,24.07739342,24.20669164,24.12155431,24.03778387,24.01117657,23.98693775,24.05097952,24.66423139,24.90541861,24.79601197,24.87605319,24.45117676,24.03821082,23.62214213
7769,693.347,23.4900492,22.95244504,22.74869851,22.55449071,22.8204148,22.88596973,22.97204049,23.27241155,23.65943302,23.94983289,24.08152804,24.29553082,24.2390691,24.07703998,23.99802343,23.98607922,24.02400387,24.64829342,24.84040882,24.79700272,24.84023908,24.39921285,24.03710703,23.70500044
604,4782.771,23.49372213,23.03655432,22.73438591,22.55690881,22.82926888,22.83423508,22.96030746,23.22351321,23.64737782,23.96561449,24.07071057,24.21159246,24.12034613,24.0319198,24.00721235,23.97637944,24.04132259,24.68663954,24.94168349,24.78729947,24.83805461,24.43870446,24.04537083,23.71427599
93,1108.845,23.49234183,23.07302316,22.74087638,22.55772631,22.83289271,22.86282619,22.92225927,23.26946866,23.59247315,23.96815589,24.0693822,24.24658963,24.11002568,24.03198087,24.00350165,23.98116053,24.01612637,24.6512769,24.93047922,24.78312164,24.84507129,24.42654821,24.03870604,23.70376117
4447,1920.8,23.4677727,23.01218946,22.74062855,22.56053111,22.82410634,22.86005786,22.90447341,23.21220438,23.65855763,23.98068055,24.06568012,24.18808197,24.17137008,23.9944566,24.05749857,24.02291733,24.04927892,24.78263969,24.9145675,24.75142313,24.91196175,24.42536205,24.05066119,23.72221262
4703,1973.339,23.48472518,23.04134377,22.73773184,22.55167341,22.82939095,22.85523495,22.96674448,23.20776332,23.69352791,24.02285235,24.06676768,24.22347699,24.1278922,24.03686531,23.99368927,24.00192021,24.05375806,24.67205591,24.91250344,24.79267568,24.82779496,24.44401529,24.03999921,23.68738243
8282,1927.668,23.50155084,23.10187454,22.75459777,22.53298264,22.83184427,22.86507245,22.95739723,23.14423972,23.65492731,23.96864498,24.074527,24.23246108,24.11858558,24.05005277,24.01021817,24.02274879,24.07033246,24.70746342,24.92134116,24.7932188,24.74720427,24.4584848,24.00888144,23.71101678
8061,690.514,23.49794588,23.0896739,22.72768142,22.56819099,22.82031495,22.85308389,22.93144617,23.20480799,23.65785973,23.92442552,24.07753022,24.21014819,24.1195492,24.02896236,23.99978944,23.97920737,24.06156238,24.67554807,24.91528504,24.79126092,24.85665792,24.44221379,24.03159217,23.69777357
4956,1378.942,23.50059745,23.04774954,22.7446517,22.55970586,22.82551395,22.85363143,22.93993082,23.20865514,23.64571184,23.98269122,24.05762784,24.26230382,24.19899044,24.01837294,23.98550042,23.98544724,24.045032,24.66838025,24.92167933,24.77976212,24.89864272,24.44441345,24.02495524,23.72692347
9818,1147.556,23.43371068,23.16843418,22.74605095,22.56112531,22.82602854,22.85877525,22.91905682,23.19559001,23.64500684,24.03414478,24.07733039,24.18013748,24.10639883,24.04940621,24.00517094,23.99317512,24.05104501,24.67775793,24.89269052,24.77786176,24.85571821,24.37255433,24.06497165,23.70094301
