dataid,mci_day,mci_night
8188,23.5388875,23.72910318
2829,23.45345283,23.47501686
2710,23.40674289,23.35875582
171,23.47925582,23.50725896
2742,23.43008086,23.36661008
2755,23.51462678,23.53397377
2769,23.50862852,23.62064036
2787,23.4723464,23.61030182
2814,23.56478631,23.73500542
2818,23.48153949,23.44758577
2859,23.4666472,23.44973254
661,23.48077163,23.27202144
2925,23.46467429,23.93398939
2931,23.52102171,23.63538431
2945,23.45352956,23.61642849
2953,23.39467997,23.38687209
2965,23.60380329,23.92819023
744,23.5047676,23.57117581
2980,23.45342168,23.6887801
2986,23.45739349,23.42131303
668,23.40349994,23.37286254
2641,23.41654007,23.41268317
9912,23.39810291,23.44804861
9942,23.46720965,23.6700216
9921,23.51557688,23.44608171
9922,23.43452154,23.67351861
9926,23.47085056,23.48988811
9932,23.44212738,23.40863506
9935,23.36718138,23.11188692
9937,23.50988773,23.85938811
9938,23.45429745,23.28324935
9939,23.47927889,23.4343785
9971,23.45127921,23.57407713
2638,23.48232551,23.80995203
9982,23.45288362,23.69247616
9983,23.49089485,22.96406221
624,23.48043287,23.53777966
2510,,
2532,23.41101001,23.6818672
2557,23.47820458,23.52647962
2575,23.45618771,23.45158087
2606,23.48644404,23.3842306
187,23.47081387,23.51880074
3009,23.38701042,23.35571381
3036,23.54985567,23.49315686
898,23.44921532,23.7286342
871,23.40990895,23.58154175
3500,23.39733913,23.76997549
3506,23.47264111,23.63692813
3527,23.51713953,23.7802963
3538,23.44746428,23.57599695
222,23.4336092,23.51535343
890,23.44806323,23.60490289
3577,23.46446883,23.493041
3635,23.50414277,23.66798949
3039,23.53836428,23.70745659
3649,23.42941746,23.41249927
3719,23.45342344,23.49385424
3723,23.44836153,23.32959421
3734,23.40973973,23.30910934
3736,23.36786054,23.71111938
59,23.38870638,23.34948349
946,23.4454641,23.44753626
3795,23.48959308,23.06892171
3482,23.39306228,23.0275467
3456,23.4468921,23.3921581
3413,23.43227022,23.45014186
3401,23.42445891,23.33105985
3044,23.52535517,23.67883439
3092,23.48556864,23.49800857
774,23.47142659,23.4457945
3104,23.48104916,23.73027359
781,23.47730611,23.59645834
3126,23.5188328,23.53273244
3134,23.50173858,23.36321915
3192,23.41269426,23.35273406
3221,23.51768026,23.65160139
3268,23.38840925,23.39346406
3273,23.40263779,23.44140865
821,23.4873317,23.40431891
3310,23.47443002,23.70629408
3367,23.53336705,23.60510592
3368,23.42150252,23.37414176
3392,23.44300694,23.224918
3394,23.4314265,23.43461411
9915,23.51169604,23.45105182
2472,23.47935577,23.63259661
8163,23.51216919,23.47266146
2199,23.44841261,23.64188816
2158,23.50124593,23.5247148
8645,23.43836408,23.9111236
8669,23.46401454,23.36644455
2171,23.50920521,23.57874702
545,23.4653499,23.5316058
8741,23.49777119,23.48045869
547,23.48234907,23.72444421
8767,23.43524154,23.48587319
8807,23.464259,23.40807327
2156,23.4921685,23.82243207
8829,23.5413541,23.52217227
8857,23.44972979,23.10534067
8862,23.46230576,23.28529565
2233,23.47147815,23.47596558
8956,23.5153001,23.56132161
8995,23.44605144,23.59752707
9001,23.49357528,23.44437793
9019,23.4747551,23.54063944
8626,23.46724284,23.35273256
8622,23.44933233,23.25624075
9875,23.51348963,23.39960619
8292,23.46403972,23.49784428
8201,23.42366615,23.30257484
8218,23.47202204,23.3305529
8236,23.4951698,23.05477171
8243,23.42978666,23.39585391
516,23.42011923,23.39457549
8273,23.45610104,23.44600508
8282,23.32846172,23.37012462
2072,23.52233157,23.64765014
8317,23.42581054,23.39265328
8589,23.42089197,23.76713019
8342,23.37168935,23.4736426
8368,23.46252122,23.57850241
2094,23.42635859,23.6520764
8386,23.49143308,23.59967748
8395,23.45818118,23.49544645
8419,23.50850209,23.32495429
2129,23.46509849,23.48205233
8555,23.39224448,23.36202637
9052,23.46444906,23.53615231
9085,23.46911505,23.67056983
9121,23.43493921,23.62363068
9701,23.48512138,23.53065166
9555,23.43577916,23.40995426
2401,23.44390628,23.42588157
9605,23.46043563,23.36769789
9609,23.45088906,23.3269249
9613,23.45170852,23.64059997
9647,23.45651621,23.58406237
9654,23.49050503,23.41781042
604,23.4405944,23.51297057
9729,23.50040925,23.5837475
9134,23.44046338,23.50213778
9766,23.5057309,23.57710098
9771,23.5104711,23.74162227
9775,23.46104717,23.60190792
9776,23.38655641,23.63174022
2449,23.45519917,23.62194713
9818,23.47252946,23.52254148
9836,23.50780567,23.49410532
2461,,
2378,23.37812649,23.38817493
9484,23.42052822,23.43921947
9462,23.53810418,23.85744021
2365,23.46720994,23.58414905
9141,23.46330176,23.33021666
9142,23.4908161,23.57621769
9156,23.44034828,23.51687682
9160,23.47160957,23.55009653
575,23.44462648,23.40616296
9206,23.4653362,23.30505097
9235,23.50062367,23.45909082
9248,23.47337965,23.67600861
9278,23.44876701,23.28379827
9295,23.45226906,23.49965305
9333,23.45330553,23.32766842
9343,23.42470699,23.2786556
2337,23.38801162,23.14771847
9356,23.43124687,23.52991092
585,23.44565077,23.50194176
9434,23.39363932,23.46000735
2361,23.42597723,23.54556284
3829,23.42915878,23.44283754
3831,23.48142874,23.5632325
3849,23.47152368,23.5617792
1790,23.46638906,23.43451665
6990,23.49445082,23.42533952
7001,23.43352104,23.49087562
7016,23.43224186,23.18536938
7017,,
7024,23.45758494,23.60163309
7030,23.47489203,23.64727284
1766,23.43941544,23.56513069
7117,23.43918657,23.40887447
1791,23.47537929,23.57633341
6941,23.52164115,23.38559878
7166,23.530413,23.66799366
1792,23.44243074,23.38761177
1796,23.51141856,23.51826268
1800,23.52608011,23.56220072
1801,23.57414945,23.64026415
114,23.49923711,23.41697921
1830,23.45337779,23.51695545
115,23.42528949,23.32978044
434,23.50248747,23.62410819
1731,23.47203343,23.50610643
974,23.46837643,23.46989712
6692,23.47536377,23.59713516
1632,23.50800609,23.37343118
410,23.4402776,23.61882256
1642,23.5594432,23.64952058
6578,23.48323799,23.81686693
6593,23.43818557,23.34923137
6643,23.44127407,23.51950318
26,23.52467447,23.70656486
6691,23.44249534,22.91580685
6730,23.46018422,23.61929253
6910,23.59776817,23.74836754
1696,23.45801418,23.26803678
1697,23.46443132,23.68327053
6799,23.37262763,23.46732829
1700,23.43253773,23.40249792
1714,23.43804754,23.61521511
1718,23.5083268,23.7192987
6887,23.44723347,23.67288373
6888,23.35799189,23.36671728
7361,23.42846166,23.28810917
7390,23.49085804,23.52570312
7429,23.44613711,23.41418878
8046,23.47858035,22.93793393
7901,23.44861819,23.60760494
7940,23.46212975,23.16666899
7951,23.46663378,23.30996564
7965,23.47489546,23.26680194
7973,23.41810505,23.46820206
499,23.43462787,23.43207792
7989,23.58793512,23.73662666
2004,23.47877439,23.5419619
503,23.49251519,23.57344205
7504,23.49655271,23.56177918
8059,23.47050844,23.46230577
8061,23.42261214,23.50147584
2018,23.47238161,23.69619401
8079,23.36768596,23.36033561
8084,23.46547339,23.44778803
8086,23.47952933,23.59335515
2034,23.49279891,23.67269673
8156,23.50530631,23.73939014
7900,23.47350294,23.5615112
7875,23.41601893,23.33181682
7850,23.54115143,23.84240822
490,23.45584255,23.50235038
7536,23.49058399,23.65166005
7560,23.43968394,23.50839604
7627,23.50758876,23.64380207
7641,23.49509023,23.51296045
7719,23.48812822,23.57464331
483,23.47673867,23.58616655
7731,23.47963424,23.58230701
7739,23.48458928,23.63076761
7741,23.45629103,23.74950976
484,23.43099894,23.34437677
7767,23.43668089,23.45893972
7769,23.47562777,23.83484683
7787,23.44037107,23.33523534
7788,23.45081229,23.22655525
7793,23.39601217,23.38940326
7800,23.46513786,23.56334261
1953,23.5759922,24.05537241
1629,23.42705334,23.15941709
6498,23.45409378,23.43619976
1617,23.46703409,23.48807793
4514,23.47274877,23.73615029
4373,23.51125571,23.89438448
4375,23.43738193,23.40797709
1103,23.43920709,23.49350696
4447,23.44628224,23.51753566
4473,23.48702999,23.66572225
4495,23.46120322,23.66546972
4499,23.51176062,23.37744983
4505,23.50460644,23.84693969
4575,23.46697995,23.7635439
4773,23.43159074,23.3929007
4590,23.50718007,23.77311047
4601,23.45716274,23.36204137
4633,23.43377813,23.54248575
4641,23.49717935,23.6491891
4670,23.45752315,23.52681887
1169,23.47784098,23.72923942
4703,23.44387217,23.51153092
4767,23.5280465,23.81510809
4357,23.48827576,23.54772431
4352,23.46482073,23.54226293
1086,23.42675033,23.45028375
4342,23.50887246,23.70773943
3916,23.48620221,23.50437213
3918,23.44465372,23.49806047
3935,23.39647917,23.43829562
3938,23.45142846,23.48979014
3953,23.48371471,23.63995099
3967,23.41982681,23.27724831
4031,23.50005962,23.687454
252,23.47751173,23.48505437
4147,23.43742017,23.49660241
4154,23.43829432,23.23160651
4193,23.47093208,23.58760502
4213,23.48982994,23.48191355
4220,23.44867195,23.44692072
4297,23.40616323,23.29281416
4298,23.48763094,23.66150905
4313,23.42567133,23.51937346
4336,23.50583771,23.51855955
1192,23.46630077,23.35346782
1202,23.42535797,23.45701977
101,23.45980331,23.58800564
6191,23.39737996,23.62928076
6063,23.4123467,23.44365246
379,23.40427176,23.37755384
1524,23.41217114,23.25793299
6101,23.46424396,23.77021545
6121,23.50331765,23.10652362
6139,23.46113544,23.25759955
6148,23.47672044,23.51559824
6165,23.47491176,23.51045653
1551,23.57143203,23.77311429
4830,,
6248,23.49091133,23.65614036
6264,23.41156475,23.48289783
6266,23.45262638,23.49515261
6348,23.4406182,23.3981073
1589,23.47961635,23.70160906
6412,23.37486052,23.5459387
6423,23.52462542,23.58604952
6460,23.4626598,23.39738198
6061,23.48922935,23.61089357
1507,23.44247041,23.40141611
1500,23.46259846,23.73224405
93,23.47981398,23.52693522
4874,23.44636741,23.44977969
4920,23.41082121,23.52084073
77,23.4919134,23.45360427
4944,23.44792623,23.36058982
4946,23.43074555,23.50825341
4956,23.49084254,23.58099508
4957,23.47086216,23.5547549
4998,23.525741,23.63070552
1283,23.4517205,23.4106398
1334,23.4303873,23.53230776
86,23.40376935,23.67395146
1392,23.45926497,23.45476809
1403,23.43324654,23.4659945
1415,23.5187098,23.75926428
1450,23.46035739,23.68720489
1463,23.42838411,23.41946362
370,23.4223443,23.5603585
8197,23.43097572,23.35262172
