dataid,total_consumption,mci
8188,972.7816004,23.62356006
1629,1097.436377,23.25970553
9555,2585.400281,23.4234639
9052,1011.86884,23.49965088
7001,1208.235009,23.46413687
7769,408.5236765,23.6582129
604,4356.915139,23.46645986
93,927.4314728,23.50451819
4447,1560.42862,23.48452111
4703,1080.850513,23.47655623
8282,1741.733476,23.34587548
8273,2906.681086,23.45114712
4956,1002.900303,23.53745963
9818,949.2637666,23.49839764
3935,627.0036844,23.41511902
4957,3166.270093,23.5097088
8292,704.7332282,23.48110369
2401,876.5511373,23.43718422
1632,1558.229762,23.4336954
6498,2087.315289,23.44538083
86,1645.938425,23.48649566
7767,804.9415448,23.44737443
3649,1348.232639,23.4224016
3916,2595.007839,23.49505636
3394,2379.457444,23.43270565
3401,3524.911477,23.38583156
585,928.3817762,23.46628238
6730,920.2567125,23.53821888
2378,1080.724105,23.38246517
9295,1438.88804,23.475728
77,1882.414452,23.47422241
6990,1235.856607,23.45855037
2638,1254.235202,23.61682966
3413,1432.250275,23.44162412
1103,513.286491,23.46995296
3918,2197.076619,23.47081483
2129,1480.912127,23.47397288
2641,1885.814535,23.41470293
4946,1241.402789,23.47031553
1617,1190.803236,23.47950145
4944,427.7234317,23.40007388
7504,1414.485721,23.53074912
4193,1582.377252,23.52044123
8807,942.5878529,23.43996646
3938,374.2048103,23.47365723
8829,1159.716581,23.53198943
115,607.9455142,23.38043323
7024,871.3544627,23.52573784
7536,844.3387276,23.56216986
7030,860.6936322,23.5649786
4213,1169.203487,23.48557266
8059,648.7732589,23.4667864
6266,1838.351928,23.47260704
8317,856.0890055,23.41163685
9085,960.95688,23.57005482
101,703.0281317,23.51855002
3192,1361.836669,23.38595601
2171,1518.48556,23.54196444
890,936.4993854,23.50596991
6264,584.6561779,23.44934246
4473,562.3165359,23.58263876
379,1750.830531,23.38978971
9343,661.1519033,23.34766233
1403,799.1913723,23.45165514
7793,1688.890395,23.39328878
2931,1352.374178,23.57697299
370,1714.321237,23.4835238
114,1244.201394,23.45403609
871,1183.799919,23.48487135
